protein,mean_pearson,std_pearson,mean_spearman,std_spearman,mean_rmse,std_rmse,mean_r2,std_r2
NESTIN,0.52164024,0.036369193,0.5448563735235428,0.13622810079143108,0.8553247733549966,0.21274401922884484,0.11203821003437042,0.1713418954957662
CDK4,0.5449486,0.08806712,0.5026017077580177,0.1748187282660734,0.8703199732678042,0.08132419807820995,0.27552396059036255,0.10329791271105583
MET,0.436873,0.060618673,0.38244159182499066,0.08119759463178758,0.9451048739607375,0.1722248686814642,0.04970566928386688,0.10737925806184768
PDGFRa,0.44227365,0.089747846,0.3555685586294279,0.09163119670583418,0.9235198734155491,0.09937550671067402,0.11262114346027374,0.04094094044783367
pERK,0.3115539,0.09925091,0.3319497003721585,0.06507882231243614,1.0282934174743958,0.09064474639238124,-0.06001850962638855,0.22325041314609384
MHCI,0.3770929,0.12403498,0.31943530228059047,0.16097860210455528,1.0023337577846956,0.12507882190194067,0.009010344743728638,0.2080317358219056
CD11b,0.32058448,0.20572995,0.3127123838660346,0.2226091804609548,1.0799316666530658,0.1559573287500808,-0.17214897274971008,0.3013793776635994
cMYC,0.5259441,0.12455422,0.30136881807227406,0.21492202377746789,0.9055683528688298,0.09801028672532262,0.20572903752326965,0.08171086021312234
PTEN,0.4837442,0.13078746,0.27723407448060045,0.19960057561508301,0.9867898153422321,0.13818094483701543,0.03785523772239685,0.14851053376972495
TMEM119,0.4682396,0.08056857,0.27309096596910926,0.1296571755491271,0.8752576945834398,0.10912787309808426,0.17255473136901855,0.044830982940670214
SOX2,0.2745102,0.11350951,0.25386591781476786,0.21547802178915032,0.9577625024365989,0.20636603999306047,-0.02568022906780243,0.08699933157023318
TCIRG1,0.44062388,0.08384091,0.23963790355965145,0.1487843338384241,0.9638665185363263,0.10661306496731456,0.0609557181596756,0.10591283380922177
S100B,0.36568177,0.20018543,0.231180176884546,0.23155013781852715,1.0439870405599763,0.22877931022836479,-0.17569002509117126,0.4150229839583933
CD206,0.16340847,0.121059,0.20295219744488077,0.11702387894473246,1.0548238399891872,0.10839464123052399,-0.08839915692806244,0.10470082165246561
CD11c,0.17977992,0.11873032,0.19596308305062377,0.11214953832663116,0.9970682605221826,0.13087870922722566,-0.03403712809085846,0.10021188528142175
EGFR,0.1574347,0.11309223,0.18510457040914502,0.18308364470165267,1.2261322065920832,0.6141232977693744,-0.6980982720851898,0.6058343810375504
YKL40,0.32236862,0.12491762,0.18157095062024475,0.11506385092052983,1.0183185504481058,0.2600714841770533,0.015887901186943054,0.16048685025971907
CD163,0.104397416,0.09837759,0.154209781096878,0.13274011176779882,1.0035042914829746,0.2215503990526654,-0.2989264130592346,0.29702818509146955
MCT4,0.23078007,0.100509845,0.14793356227124418,0.11728653396644606,1.0332648885494433,0.02890225322813017,-0.07261745631694794,0.07509899915693709
DNA3,0.12031151,0.047962554,0.1419277935572865,0.05393298847797553,1.0893091336049066,0.04050464321501121,-0.19851014018058777,0.05903027494791937
CD14,0.135322,0.107343204,0.1407423361159281,0.16656097109213605,1.0045295785492305,0.19396549670208815,-0.22319960594177246,0.20589041579782394
DNA1,0.11578599,0.05631754,0.13815715351511137,0.059735727068036946,1.0906595229185079,0.043441435931876694,-0.20048847794532776,0.05783360495104259
P2RY12,0.12085201,0.13441728,0.11492612917625777,0.13854553603159026,1.0397800750303243,0.15005634335948959,-0.2192276120185852,0.13924222695444638
CD68,0.098451145,0.060886014,0.11132240926065867,0.06317596437322437,1.0525236814106613,0.11234522221747564,-0.1743319034576416,0.08883604593639798
IBA1,0.10048291,0.0851756,0.11057661955262237,0.08558928358259904,1.084763555341622,0.27634759762524413,-0.18184123933315277,0.16574147554523205
GFAP,0.120949,0.047826894,0.10877988350699613,0.11119296992518503,0.975626471098012,0.27973685609093746,-0.18704459071159363,0.1857146708957107
CD74,0.1138487,0.10936349,0.10430418308269684,0.10398234348089318,1.0862494592396819,0.15610023788595467,-0.24049577116966248,0.2720160496645252
CD16,0.110394895,0.06626571,0.10275985184281981,0.0702946611039031,1.0451752858399226,0.1044389514439443,-0.1360679566860199,0.08021637226722288
VISTA,0.06314364,0.04888652,0.08489031486317912,0.051577055189839995,1.060198829611286,0.14700084481169853,-0.21526965498924255,0.1442145617061587
SOX10,0.086291306,0.07913771,0.08137921623398335,0.0749286001323087,1.062205427509021,0.17667560163579796,-0.4429005980491638,0.3442023193689369
KI67,0.08813681,0.09698334,0.08092648626811176,0.10423710113422333,1.0394188119393892,0.0799727328102341,-0.08910343050956726,0.09148182824674904
HIF1a,0.08846272,0.10161637,0.0701111940900073,0.05604498714614952,1.0017994278237012,0.18147974544925605,-0.0954003632068634,0.08292594886260204
CD44,0.06706772,0.084887564,0.06999666558716516,0.06522354086770443,1.1923942696680638,0.36007732508133133,-0.30963772535324097,0.3026150832400784
HLADR,0.12129116,0.107946694,0.06521444952746934,0.07931496688114681,1.1476821029466728,0.1558577437279957,-0.305391862988472,0.3792265985037086
SMAa,0.064830296,0.054298975,0.024562032244619402,0.030023116902730483,0.997625957678069,0.13647959559981465,-0.10690334439277649,0.08871688852410371
CD31,0.03953441,0.04933897,0.018851478179616677,0.03194738337050925,1.0147028444450195,0.09455576621285708,-0.09468463063240051,0.023937753783883846
OLIG2,0.022167748,0.055280536,0.0177364202173172,0.06316078448181701,1.0876467462417627,0.16886118176909412,-0.2094239592552185,0.10400938276684596
CD24,0.013863981,0.04740643,0.012176976983067744,0.03320323907089694,1.1140424289227546,0.1707141069454398,-0.31609174609184265,0.08154184804773806
